
This document explains why certain assertions were not tested.

Assertions not listed here should be covered by the tests in this directory.


Assertions     Tested ?	   Remarks
1	       YES
2	       YES
3	       YES
4	       YES
5	       YES
6	       YES
7	       YES
8	       YES
9	       YES
10	       YES
11	       YES
12	       YES
13	       YES
14	       YES
15	       YES
16	       YES
17	       YES
18	       YES
19	       YES
20	       YES
21	       YES
22	       YES
23	       YES
24	       YES
